Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built, GHG Emissions (MTCO2e) ,GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,User Submitted Link,Tax Parcel,Years Reported
KENNEDY PJ,Municipal ,K-12 School,343 Saratoga St.,02128," 36,190 ",35.5,100,,K-12 School,1926, 78.6 ,2.2," 1,283,775.6 ",25.1%,74.9%,,,,,,106987000,"2016, 2017, "
Engine 05,Municipal ,Fire Station,360 Saratoga St,02128," 10,080 ",137,Not Available,,Fire Station,2000, 89.1 ,8.8," 1,380,774.8 ",35.3%,64.7%,,11.6,,,,107039000,"2016, 2017, "
New East Boston,Municipal ,Library,365 Bremen Street,02128," 15,000 ",76.8,Not Available,,Library,2013, 86.5 ,5.8," 1,152,698.5 ",67.9%,32.1%,,,,,,104194001,"2016, 2017, "
ALIGHIERI,Municipal ,K-12 School,37 Gove St.,02128," 169,748 ",52.8,100,,K-12 School,1924, 48.5 ,2.9," 894,509.2 ",3.5%,96.5%,,,,,,105723000,"2016, 2017, "
Landfall West Apartments,Yes,Multifamily Housing,401 Border Street ,02128," 52,157 ",82.6,13,,Multifamily Housing,1975, 223.1 ,5.1," 3,635,759.4 ",25.5%,74.5%,,31.1,,,,010361300,"2017, "
Excel Academy Charter High School,Yes,K-12 School,401 Bremen Street,02128," 67,527 ",12.2,100,,K-12 School,2016, 70.4 ,1.0," 824,120.9 ",100.0%,,,,,0104196010,,104196010,"2017, "
440 McClellan LLC,Yes,Non-Refrigerated Warehouse,440 William F McClellan Highway,02128," 121,101 ",29.4,64,,Non-Refrigerated Warehouse,1960, 258.0 ,2.1," 3,555,890.6 ",60.1%,39.9%,,2.8,,"Building Usage Data for Natural Gas and Electric is whole building data provided by utility companies.

Default Values were used for Use Detail.
",,0101662000,"2015, 2016, 2017, "
GUILD,Municipal ,K-12 School,5 Ashley St.,02128," 36,628 ",50.3,97,,K-12 School,1921, 111.3 ,3.0," 1,841,106.8 ",22.6%,77.4%,,,,,,101681000,"2016, 2017, "
Portside at East Pier,Yes,Multifamily Housing,50 Lewis Street,02128," 159,661 ",20.9,Not Available,,"Multifamily Housing, Parking",2014, 230.6 ,1.4," 3,335,798.3 ",49.6%,50.4%,,34.8,,,,0104447000,"2015, 2017, "
McArdle Bridge Tender House,Municipal ,Other - Public Services,500 Meridian St,02128," 3,024 ",120.2,Not Available,,Other - Public Services,2000, 31.1 ,10.3," 363,412.1 ",100.0%,,,,,,,105935000,"2016, 2017, "
Sterling Suffolk Race Cource LLC,Yes,Other - Entertainment/Public Assembly,525 McClellan Highway,02128," 7,100,280 ",Not Available,Not Available,,"Other - Entertainment/Public Assembly, Parking",1935, Not Available ,Not Available, Not Available ,,,,,,,,102524000,"2014, 2016, 2017, "
Victory Gardens Apartments: 54 Orleans Street,Yes,Multifamily Housing,60 Orleans St,02128," 78,545 ",55.1,90,,Multifamily Housing,1979, 273.4 ,3.5," 4,329,366.2 ",31.1%,68.9%,,20.3,,Sq. Ft. adjusted to match parcel/tax assessor - 60-70 Orleans,,0105343100,"2015, 2016, 2017, "
Shore Plaza East,Yes,Multifamily Housing,600 Border St.,02128," 297,154 ",132.3,9,,"Multifamily Housing, Parking",1977," 2,403.8 ",8.1," 39,328,026.0 ",24.8%,75.2%,,72.4,,,,103678000,"2017, "
Chapman House,Yes,Multifamily Housing,61 Eutaw Street,02128," 33,551 ",84.8,39,,Multifamily Housing,1900, 172.2 ,5.1," 2,844,019.2 ",23.0%,77.0%,,52.7,,,,0102829000,"2017, "
A-07 Station,Municipal ,Police Station,69 Paris St,02128," 16,194 ",159.2,Not Available,,Police Station,2000, 164.4 ,10.2," 2,577,566.3 ",33.0%,67.0%,,,,,,105699000,"2016, 2017, "
Landfall Community Associates,Yes,Multifamily Housing,72 Marginal Street,02128," 85,000 ",88.8,46,,Multifamily Housing,1975, 453.1 ,5.3," 7,552,192.6 ",21.3%,78.7%,,52.1,,,,104482000,"2017, "
Pino Community Center,Municipal ,Social/Meeting Hall,86 Boardman St,02128," 11,250 ",58.3,Not Available,,Social/Meeting Hall,2000, 34.9 ,3.1," 656,132.0 ",,100.0%,,2.7,,,,100524000,"2016, 2017, "
EAST BOSTON HS,Municipal ,K-12 School,86 White St.,02128," 212,505 ",58.9,85,,K-12 School,1926, 735.7 ,3.5," 12,526,035.5 ",17.4%,82.6%,,,,,,103384000,"2016, 2017, "
Brandywyne Village,Yes,Multifamily Housing,88 Brandywyne Drive,02128," 873,348 ",20.5,100,,Multifamily Housing,1900, 983.9 ,1.1," 17,932,144.3 ",5.4%,94.6%,,20.3,,,,0100534000,"2016, 2017, "
Brooke Charter School - East Boston,Yes,K-12 School,94 Horace St,02128," 28,637 ",44.9,87,,K-12 School,1958, 98.4 ,3.4," 1,285,718.9 ",99.4%,0.6%,,11.0,,,,0100899000,"2017, "
Sparrow Enterprises Ltd,Yes,Manufacturing/Industrial Plant,98r Condor Street,02128," 46,000 ",25.8,Not Available,,Manufacturing/Industrial Plant,1986, 70.4 ,1.5," 1,188,328.9 ",26.2%,73.8%,,2.3,,,,103704100,"2016, 2017, "
Navy Yard 34-39: Building 34,Yes,Office,1 1st Avenue,02129," 49,247 ",68.6,76,,"Bank Branch, Office, Retail Store",1989, 256.4 ,5.2," 3,379,718.5 ",70.3%,29.7%,,15.6,,,,0203512000,"2017, "
The Nautica Condominium Leasehold Trust,Yes,Multifamily Housing,1 Warren St,02129," 150,977 ",68.4,71,,"Multifamily Housing, Parking",2000, 715.8 ,4.7," 10,320,394.6 ",50.2%,49.8%,,49.0,,,,203520010,"2015, 2016, 2017, "
Navy Yard 34-39: Building 39,Yes,Office,100 1st Avenue,02129," 86,951 ",110.6,6,,Office,1989, 789.5 ,9.1," 9,619,381.9 ",89.6%,10.4%,,14.4,,,,0203511000,"2017, "
HF GROUP LLC,Yes,Manufacturing/Industrial Plant,100 CAMBRIDGE ST.,02129," 39,754 ",163.1,Not Available,,Manufacturing/Industrial Plant,1950, 475.5 ,12.0," 6,483,133.3 ",62.6%,37.4%,,11.4,,,,0202138000 0202139000,"2016, 2017, "
Bricklayers Bulding 104 LLC,Yes,Other - Lodging/Residential,104 First Avenue,02129," 80,038 ",16.2,Not Available,,"Other - Lodging/Residential, Parking",1996, 99.5 ,1.2," 1,297,713.5 ",100.0%,,,16.2,,,,203515760,"2017, "
Basilica Leasehold Condominium Trust: Basilica Condominium,Yes,Multifamily Housing,106 13th Street,02129," 280,000 ",39,81,,Multifamily Housing,1986, 791.2 ,2.8," 10,906,574.3 ",60.1%,39.9%,,10.5,,,,0203510175,"2015, 2016, 2017, "
Charlestown Navy Yard Rowhouses,Yes,Multifamily Housing,110 First Ave,02129," 28,820 ",27,100,,Multifamily Housing,1989, 66.4 ,2.3," 777,615.3 ",100.0%,,,61.7,,,,0203517500,"2015, 2016, 2017, "
PHS-MGH-CNY Bldg 114,Voluntary,Medical Office,114 16th Street,02129," 160,352 ",280.9,15,,Medical Office,1904," 1,553.3 ",9.7," 45,037,741.8 ",35.1%,64.9%,,21.2,,,,0203510050,"2014, 2015, 2016, 2017, "
Shipways Condominium,Yes,Multifamily Housing,1-48 Shipway Place,02129," 91,379 ",25.3,93,,"Multifamily Housing, Office, Parking",1984, 197.8 ,2.2," 2,315,437.8 ",100.0%,,,25.0,,,,203515600,"2015, 2016, 2017, "
PHS-MGH-CNY Bldg. 149,Yes,Medical Office,149 13th Street,02129," 733,715 ",240,22,,Medical Office,1919," 4,338.4 ",5.9," 176,105,696.0 ",53.6%,46.4%,,19.1,,,,0203510451,"2014, 2015, 2016, 2017, "
YMCA of Greater Boston - Constitution Inn,Yes,Hotel,150 Second Avenue,02129," 270,000 ",58.2,84,,"Hotel, Swimming Pool",1992, 941.4 ,3.5," 15,712,440.0 ",21.0%,79.0%,,12.5,,"The hotel consists of a 20,000 sq. ft. fitness center.",,0203511300 0203511301,"2015, 2016, 2017, "
Charlestown Branch,Municipal ,Library,179 Main St,02129," 15,831 ",88.6,Not Available,,Library,2000, 99.6 ,6.3," 1,402,470.5 ",55.3%,44.7%,,3.9,,,,200449000,"2016, 2017, "
Flagship Wharf Condominium: 197 8th Street,Yes,Multifamily Housing,197 8th Street,02129," 590,000 ",48.4,40,,Multifamily Housing,1989," 2,008.9 ",3.4," 28,532,031.1 ",53.5%,46.5%,,15.2,,"On sheet, Electric also entered for Heating Fuel, Electric Baseboards for Heating System. Entered Boilers on sheet for Hot Water System, so assumed Indirect hot water tank off boiler (Heat & DHW). ",,0203505100,"2015, 2016, 2017, "
A-15 Station,Municipal ,Police Station,20 Vine St,02129," 20,000 ",100.9,Not Available,,Police Station,2000, 142.2 ,7.1," 2,017,126.6 ",53.7%,46.3%,,,,,,202644020,"2016, 2017, "
Engine 04,Municipal ,Fire Station,200 Cambridge St,02129," 18,150 ",78,Not Available,,Fire Station,2000, 88.1 ,4.9," 1,414,920.2 ",28.3%,71.7%,,10.2,,,,300139000,"2016, 2017, "
"Mishawum Park: Bldgs 17, 18, and 20",Yes,Multifamily Housing,216 Main Street,02129," 30,425 ",54.5,96,,Multifamily Housing,1974, 101.8 ,3.3," 1,658,665.5 ",25.6%,74.4%,,42.7,,,,0202315000,"2015, 2016, 2017, "
CHARLESTOWN HS,Municipal ,K-12 School,240 Medford St.,02129," 226,822 ",75.8,34,,K-12 School,1978," 1,127.4 ",5.0," 17,187,118.8 ",38.6%,61.4%,,,,,,200128000,"2016, 2017, "
Harborview at the Navy Yard,Yes,Multifamily Housing,250 First Avenue,02129," 225,748 ",54.1,86,,"Multifamily Housing, Parking",2008, 863.8 ,3.8," 12,205,848.1 ",54.6%,45.4%,,43.7,,,,03517600,"2016, 2017, "
EDWARDS,Municipal ,K-12 School,28 Walker St.,02129," 81,668 ",47.1,96,,K-12 School,1932, 231.9 ,2.8," 3,849,068.6 ",22.1%,77.9%,,,,,,200963000,"2016, 2017, "
"Mishawum Park: Bldgs 9,10,11, and 12",Yes,Multifamily Housing,290 Main Street,02129," 98,577 ",60.9,82,,Multifamily Housing,1974, 383.8 ,3.9," 6,004,147.6 ",33.4%,66.6%,,55.3,,,,0202390000,"2015, 2016, 2017, "
Mezzo Design Lofts,Yes,Multifamily Housing,30 Caldwell Street,02129," 123,594 ",46.8,Not Available,,Multifamily Housing,2007, 362.4 ,2.9," 5,786,682.2 ",29.4%,70.6%,,36.2,,,,201912010,"2015, 2017, "
The Schoolhouse on Monument Square Condominium,Yes,Multifamily Housing,30 Monument Square,02129," 66,863 ",45.7,52,,"Multifamily Housing, Parking",1986, 248.5 ,3.7," 3,055,881.3 ",63.2%,,,16.0,,,,203150000,"2017, "
PHS-Spaulding Rehabilitation Hospital - CNY,Yes,Hospital (General Medical & Surgical),300 First Ave,02129," 290,610 ",199.3,96,,Hospital (General Medical & Surgical),2012," 2,456.7 ",8.5," 57,927,872.7 ",20.1%,79.9%,,35.5,,,,203517850,"2016, 2017, "
Chestnut Street Condo,Voluntary,Multifamily Housing,33 Chestnunt Street,02129," 29,447 ",29.2,79,,Multifamily Housing,1989, 73.3 ,2.5," 858,452.4 ",100.0%,,,25.4,,,,501588000,"2017, "
Engine 50,Municipal ,Fire Station,34 Winthrop St,02129," 12,000 ",61.5,Not Available,,Fire Station,2000, 46.9 ,3.9," 738,303.2 ",32.1%,67.9%,,8.5,,,,203321000,"2016, 2017, "
Tudor Wharf Hotel Tenant,Yes,Hotel,34-44 Charles River Ave,02129," 27,720 ",413.9,1,,"Hotel, Parking, Swimming Pool",2002, 978.3 ,35.3," 11,473,620.9 ",99.5%,0.5%,,264.5,,,,203591000,"2017, "
Clougherty Pool,Municipal ,Fitness Center/Health Club/Gym,345 Bunker Hill St,02129," 9,936 ",18,Not Available,,"Fitness Center/Health Club/Gym, Swimming Pool",2000, 15.3 ,1.5," 178,814.4 ",100.0%,,,,,,,201503000,"2016, 2017, "
PHS-MGH Institute of Health Professions,Yes,Office,36 First Avenue,02129," 64,925 ",69.6,73,,Office,1865, 26.5 ,0.4," 4,515,702.7 ",88.9%,11.1%,,91.4,,,,0203504000 0203504001,"2014, 2015, 2016, 2017, "
Zero-Sort Building,Yes,Manufacturing/Industrial Plant,410 R Rutherford Ave,02129," 82,706 ",129.7,Not Available,,Manufacturing/Industrial Plant,1965, 909.1 ,11.0," 10,730,174.2 ",97.8%,2.2%,,12.1,,,,0202162095,"2014, 2015, 2016, 2017, "
Parris Landing Condominium Trust: 42 8th Street,Yes,Multifamily Housing,42 8th Street,02129," 320,568 ",71.9,76,,Multifamily Housing,1979," 1,426.0 ",4.4," 23,046,690.4 ",27.1%,72.9%,,49.0,,"Regarding systems: High Efficiency Condensing Boilers for Gas heat, one building also has Electric Stand-alone storage water heater, and both buildings have Packaged Rooftop Cooling System. ",,0203506010,"2015, 2016, 2017, "
City Square Elderly Housing,Yes,Multifamily Housing,42 Park Street,02129," 94,970 ",Not Available,Not Available,,Multifamily Housing,1985, Not Available ,Not Available, Not Available ,,,,,,,,203350010,"2015, 2017, "
425 Medford Street,Yes,Distribution Center,425 Medford Street,02129," 186,818 ",13.3,Not Available,,"Distribution Center, Parking",1899, 170.8 ,0.9," 2,487,039.2 ",48.1%,51.9%,,78.4,,,,0201799000  0201798000,"2014, 2015, 2016, 2017, "
Stillman Tennis Center,Municipal ,Fitness Center/Health Club/Gym,44 Terminal St,02129," 64,320 ",35.4,Not Available,,Fitness Center/Health Club/Gym,2000, 120.8 ,1.9," 2,274,131.0 ",,100.0%,,,,,,202735000,"2016, 2017, "
Bunker Hill Business Center,Yes,Non-Refrigerated Warehouse,440 Rutherford ,02129," 52,944 ",8.5,99,,"Non-Refrigerated Warehouse, Parking",1954, 35.7 ,0.7," 451,602.1 ",80.5%,19.5%,,2.3,,,,0202162075 0202162085,"2016, 2017, "
465 Medford Street,Yes,Office,465 Medford Street,02129," 180,096 ",375.3,9,,"Office, Parking",1920," 3,926.4 ",21.8," 67,596,194.2 ",15.4%,84.6%,,1.9,,Electric Usage provided by NSTAR.  Tenant which occupies 60% of they building is working two shifts and is a high energy user. ,,0201804000 0201802000,"2014, 2015, 2016, 2017, "
Courtyard Condominium,Yes,Multifamily Housing,47 Harvard Street,02129," 100,000 ",19.4,100,,Multifamily Housing,1983, 132.9 ,1.3," 1,938,944.7 ",47.7%,52.3%,,27.0,,,,203690000,"2015, 2016, 2017, "
Fiber Building,Yes,Manufacturing/Industrial Plant,490 R Rutherford Ave,02129," 65,800 ",73.1,Not Available,,Manufacturing/Industrial Plant,1965, 344.4 ,5.2," 4,812,496.5 ",57.0%,43.0%,,2.3,,,,0202162080,"2014, 2015, 2016, 2017, "
KENT,Municipal ,K-12 School,50 Bunker Hill St.,02129," 93,350 ",83.2,70,,K-12 School,1972, 451.5 ,4.8," 7,768,084.9 ",15.5%,84.5%,,,,,,202920000,"2016, 2017, "
WARREN PRESCOTT,Municipal ,K-12 School,50 School St.,02129," 59,330 ",41.1,99,,K-12 School,1963, 143.8 ,2.4," 2,439,429.2 ",18.0%,82.0%,,,,,,200276000,"2016, 2017, "
CCC,Yes,Other,50 Terminal St,02129," 403,000 ",31.8,Not Available,,Other,1920, 954.6 ,2.4," 12,812,544.1 ",66.2%,33.8%,,1.8,,,,202751000,"2016, 2017, "
500 - 570 Rutherford Ave,Yes,Other,500 Rutherford Ave,02129," 448,436 ",125.7,Not Available,,"College/University, Office, Other",1925," 4,780.4 ",10.7," 56,354,822.2 ",98.1%,1.9%,,14.1,,,,0202161000,"2016, 2017, "
Wise Realty,Yes,Mixed Use Property,511 Medford Street,02129," 37,636 ",Not Available,Not Available,,Other,1925, Not Available ,Not Available, Not Available ,,,,7.1,,,,201806000,"2016, 2017, "
Engine 32,Municipal ,Fire Station,525 Main St,02129," 10,914 ",116.7,Not Available,,Fire Station,2000, 81.6 ,7.5," 1,273,827.3 ",34.0%,66.0%,,20.3,,,,201825000,"2016, 2017, "
Schraffts Center,Yes,Office,529 Main Street,02129," 609,636 ",55.4,93,2016,"Office, Parking",1928," 2,660.8 ",4.4," 33,745,459.2 ",79.6%,20.4%,,1186.0,,,,0201829000 0201829002,"2014, 2015, 2016, 2017, "
Bunker Hill Mall - Reporting,Yes,Strip Mall,5-31 Austin Street,02129," 46,457 ",168,Not Available,,"Parking, Strip Mall",1985, 538.6 ,11.6," 7,804,136.5 ",49.2%,50.8%,,87.2,,Boston Tax Parcel 0202210000,,0202210000,"2016, 2017, "
56 Roland Street,Yes,Office,56 Roland Street,02129," 132,614 ",33.9,Not Available,,"Office, Other",1910, 312.7 ,2.4," 4,495,412.9 ",50.9%,49.1%,,4.2,,We have been doing building renovations for about 18 months which has caused and heightened energy usage.,,0202125000,"2015, 2016, 2017, "
Massachusetts General Physicians Organization,Yes,Office,62 13th Street,02129," 49,063 ",54.7,92,,Office,1900, 204.8 ,4.2," 2,685,844.7 ",71.6%,28.4%,,12.0,,,,203510020,"2017, "
7 Sherman St.,Yes,Other - Services,7 Sherman St.,02129," 39,000 ",73,Not Available,,Other - Services,1920, 182.6 ,4.7," 2,846,317.2 ",40.0%,56.4%,,20.9," 29,820 ",,,0201864000,"2016, 2017, "
PHS-MGH-CNY 75,Yes,Laboratory,75 Thirteenth St.,02129," 51,880 ",323.6,Not Available,,Laboratory,1848, 417.7 ,8.1," 16,786,101.4 ",53.1%,46.9%,,27.1,,,,0203510155,"2014, 2015, 2016, 2017, "
Gatehouse 75,Yes,Multifamily Housing,75 W School St,02129," 95,087 ",50.1,83,,"Multifamily Housing, Parking",2013, 343.7 ,3.6," 4,763,529.2 ",58.9%,41.1%,,35.9,,"There are three different water meters on the property, so we reported them separately instead of as one meter. WAgt280001 refers to meter #70263683, WAgt280002 refers to the fireline, and WAgt280003 refers to meter #70263683.",,0202360000,"2016, 2017, "
Holden,Municipal ,K-12 School,8 Pearl St,02129," 11,212 ",7.1,100,,K-12 School,2000, 6.8 ,0.6," 79,755.5 ",100.0%,,,,,,,200638000,"2016, 2017, "
CharlesNewtown,Yes,Multifamily Housing,89 Medford Street,02129," 283,936 ",112.5,18,,"Multifamily Housing, Parking",1971," 1,962.8 ",6.9," 31,945,615.4 ",25.8%,74.2%,,99.3,,,,"0202734000	0202740000	0202745000","2015, 2016, 2017, "
Zelma Lacey Assisted Living: 9 West School St,Yes,Multifamily Housing,9 W School St,02129," 39,384 ",89.3,18,,Multifamily Housing,2004, 236.4 ,6.0," 3,516,181.1 ",43.6%,56.4%,,81.4,,,,202350000,"2017, "
Constellation Wharf Condominium,Yes,Multifamily Housing,Pier 7 Ninth Street,02129," 177,451 ",61.1,3,,"Multifamily Housing, Parking",1986, 853.7 ,5.2," 9,991,639.7 ",100.0%,,,15.4,,,,203516001,"2015, 2016, 2017, "
PHS-MGH-CNY Bldg 199,Yes,Parking,199 13th St.,02129-2000," 664,937 ",3.4,Not Available,,Parking,1900, Not Available ,Not Available," 2,287,360.8 ",100.0%,,,,,,,203515600,"2017, "
Jamaica Pond Boat House,Municipal ,Other - Recreation,0 Jamaicaway,02130, 100 ,Not Available,Not Available,,Other - Recreation,2000, Not Available ,Not Available, Not Available ,,,,792.0,,,,1902186000,"2016, 2017, "
The 10 Jamaicaway Condo Trust,Voluntary,Multifamily Housing,10  Jamaicaway,02130," 21,976 ",97.8,73,,Multifamily Housing,1928, 123.5 ,5.6," 2,149,829.4 ",13.3%,86.7%,,50.4,,,,1001390000,"2017, "
Forestvale Apartments,Yes,Multifamily Housing,"107-113 Forest Hills Street, 115-121 Forest Hills Street, 123-127 Forest Hills Street",02130," 98,205 ",77.7,90,,Multifamily Housing,1964, 431.9 ,4.4," 7,631,903.6 ",10.8%,89.2%,,8013.1,,,,1102906000,"2015, 2016, 2017, "
Jamaicaway Tower and Townhouses,Yes,Multifamily Housing,111 Perkins Street,02130," 445,701 ",58,77,,Multifamily Housing,1965," 1,997.8 ",4.5," 25,843,601.3 ",29.7%,1.2%,,23.7,,,,1002149000,"2015, 2016, 2017, "
PHS-Faulkner Hospital,Yes,Hospital (General Medical & Surgical),1153 Centre Street,02130," 454,917 ",292.4,37,,Hospital (General Medical & Surgical),1903," 5,410.9 ",11.9," 133,007,388.6 ",23.5%,76.4%,,18.3,,,,1902600000,"2014, 2016, 2017, "
Jamaica Plain Branch,Municipal ,Library,12 Sedgewick St,02130," 9,252 ",Not Available,Not Available,,Library,2000, Not Available ,Not Available, Not Available ,,,,6.4,,,,1901289000,"2016, 2017, "
MANNING,Municipal ,K-12 School,130 Louders Ln.,02130," 22,336 ",64.8,92,,K-12 School,1941, 86.2 ,3.9," 1,447,084.4 ",20.0%,80.0%,,,,,,1902518000,"2016, 2017, "
Franklin Park Villa,Yes,Multifamily Housing,131 Morton Street,02130," 67,049 ",Not Available,Not Available,,Multifamily Housing,2002, Not Available ,Not Available, Not Available ,,,,,,,,1103774000,"2015, 2017, "
Sherrill House,Yes,Senior Care Community,135 South Huntington Avenue,02130," 117,770 ",120.1,73,,"Parking, Senior Care Community",1970, 920.7 ,7.8," 14,149,165.2 ",37.0%,63.0%,,40.6,,,,1001629000,"2014, 2015, 2016, 2017, "
14-16 Lakeville Road,Yes,Multifamily Housing,14-16 Lakville Road,02130," 36,020 ",76.8,Not Available,,Multifamily Housing,1936, 208.0 ,5.8," 2,765,817.1 ",9.0%,,,26.2,,,,1901984000,"2017, "
English HS,Municipal ,K-12 School,144 McBride St.,02130," 225,560 ",90.2,52,,K-12 School,1973," 1,168.5 ",5.2," 20,348,984.6 ",13.3%,86.7%,,,,,,1102600000,"2016, 2017, "
Nate Smith House: 155 Lamartine St - Compliance,Yes,Multifamily Housing,155 Lamartine St,02130," 40,830 ",71.8,45,,Multifamily Housing,1998, 180.3 ,4.4," 2,930,919.4 ",26.0%,74.0%,,42.8,,,,1900029010,"2015, 2016, 2017, "
Olmsted Place,Yes,Multifamily Housing,161 South Huntington Avenue,02130," 256,875 ",33.4,100,,"Multifamily Housing, Parking, Swimming Pool",2015, 566.4 ,2.2," 8,577,666.3 ",40.0%,60.0%,,0.4,,,,1001631000,"2017, "
Laurel Ridge Rehabilitation and Skilled Care Center,Yes,Senior Care Community,174 Forest Hills St.,02130," 37,000 ",161,23,,Senior Care Community,1971, 426.4 ,11.5," 5,958,346.0 ",57.1%,42.9%,,12.2,,,,1102969000,"2017, "
Franklin Park Greenhouse,Municipal ,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",190 Morton Street,02130," 25,000 ",213.9,Not Available,,Other,2000, 294.8 ,11.8," 5,347,526.1 ",6.2%,93.8%,,,,,,1203487000,"2016, 2017, "
Perkins Manor,Yes,Multifamily Housing,2 - 18 Perkins Square,02130," 129,236 ",63,97,,"Multifamily Housing, Parking",1927, 609.2 ,4.7," 8,139,738.3 ",10.0%,2.3%,,4763.2,,,,1002148001,"2016, 2017, "
AGASSIZ,Municipal ,K-12 School,20 Child St.,02130," 115,400 ",78.7,64,,K-12 School,1972, 545.0 ,4.7," 9,083,252.9 ",21.3%,78.7%,,,,,,1103019000,"2016, 2017, "
Curtis Hall Community Center,Municipal ,Social/Meeting Hall,20 S St,02130," 37,995 ",88.5,Not Available,,Other - Recreation,2000, 208.1 ,5.5," 3,363,960.9 ",27.1%,72.9%,,,,,,1901289000,"2016, 2017, "
HENNIGAN,Municipal ,K-12 School,200 Heath St.,02130," 137,800 ",186.6,13,,"K-12 School, Swimming Pool",1972," 1,389.0 ",10.1," 25,715,924.0 ",2.8%,97.2%,,,,,,1001673000,"2016, 2017, "
2-16 hyde Park Ave,Yes,Multifamily Housing,2-16 Hyde park ave ,02130," 35,328 ",Not Available,Not Available,,"Multifamily Housing, Retail Store",1940, -   ,0.0, Not Available ,,,,,,,,1103654000,"2017, "
South St Apartments,Yes,Multifamily Housing,218-230 South St ,02130," 83,475 ",Not Available,Not Available,,Multifamily Housing,1940, -   ,0.0, Not Available ,,,,,,,,1103286000,"2017, "
The Jefferson Schoolhouse Condominium,Yes,Other - Lodging/Residential,240 Heath Street,02130," 12,600 ",128.8,Not Available,,Other - Lodging/Residential,1987, 138.7 ,11.0," 1,623,473.9 ",100.0%,,,167.8,,,,1001671000,"2016, 2017, "
FULLER,Municipal ,K-12 School,25 Glen Rd.,02130," 19,887 ",68.5,93,,K-12 School,1892, 78.8 ,4.0," 1,363,226.4 ",14.4%,85.6%,,9.6,,,,1102901000,"2016, 2017, "
PARKMAN,Municipal ,K-12 School,25 Walk Hill St.,02130," 39,586 ",91.6,72,,K-12 School,1899, 209.1 ,5.3," 3,624,958.7 ",14.1%,85.9%,,,,,,1904771000,"2016, 2017, "
Brewery Lofts,Yes,Multifamily Housing,251 Heath St Pub,02130," 86,900 ",68.7,40,,Multifamily Housing,1000, 406.0 ,4.7," 5,966,694.5 ",46.2%,53.8%,,36.6,,,,1001480000,"2015, 2016, 2017, "
0075 Jamaica Plain,Yes,Supermarket/Grocery Store,301 Centre St.,02130," 46,685 ",208.1,75,,Supermarket/Grocery Store,2005, 715.9 ,15.3," 9,715,535.3 ",63.6%,36.4%,,18.8,,,,1001850010,"2016, 2017, "
Commerce Apartments,Yes,Multifamily Housing,3115 Washington Street,02130," 26,000 ",57.7,85,,Multifamily Housing,1940, 84.9 ,3.3," 1,501,408.3 ",10.6%,89.4%,,37.6,,"According to Boston's tax assessor database, parcel id 1101302000 has a living area of 17,544 square feet. This building also has less than 50 units.",,1101302000,"2015, 2016, 2017, "
